Product Name,Product URL,Product Price,Product Rating,Product Reviews
Men T. Blue Silver,https://www.amazon.in/Sparx-Mens-Silver-Sneakers-7-SX0421G_TBSL0007/dp/B07YM1Z4FP/ref=sr_1_53?keywords=men+sports+shoes&qid=1685080866&sr=8-53,₹839,3.9 out of 5 stars,227
Men's Black Golden Running Shoe (SM-661),https://www.amazon.in/Sparx-Black-Golden-Running-SM-661/dp/B099ZXMJMN/ref=sr_1_54?keywords=men+sports+shoes&qid=1685080866&sr=8-54,"₹1,199",3.6 out of 5 stars,384
Men's Simba PRO Running Shoes,https://www.amazon.in/Campus-Simba-Turq-BLU-Pista-Running/dp/B08R1ZXXKB/ref=sr_1_55?keywords=men+sports+shoes&qid=1685080866&sr=8-55,₹959,4.0 out of 5 stars,"1,242"
"Shoes for Exclusive Trendy, Casual, Sports Shoes for Men, Running Shoes for Men (Black, Red)",https://www.amazon.in/BRUTON-Shoes-Exclusive-Trendy-Numeric_10/dp/B0BH8228D4/ref=sr_1_56?keywords=men+sports+shoes&qid=1685080866&sr=8-56,₹279,2.9 out of 5 stars,100
Mens Sx0661g Running Shoe,https://www.amazon.in/Sparx-SM-661-Olive-Sports-SX0661GOLHN0009/dp/B08WJ1QT5G/ref=sr_1_57?keywords=men+sports+shoes&qid=1685080866&sr=8-57,"₹1,039",3.9 out of 5 stars,"1,469"
Mens Sm 651 Industrial Shoe,https://www.amazon.in/Sparx-SM-651-Yellow-Running-SX0651GOLGD0009/dp/B08PWYCQZ4/ref=sr_1_58?keywords=men+sports+shoes&qid=1685080866&sr=8-58,₹839,4.2 out of 5 stars,"9,254"
Sm-676,https://www.amazon.in/Sparx-SM-676-Forest-G-Yellow-Sports/dp/B0924TLJPP/ref=sr_1_59?keywords=men+sports+shoes&qid=1685080866&sr=8-59,"₹1,371",3.9 out of 5 stars,"1,484"
Merage M,https://www.amazon.in/Adidas-Merage-Altered-Scarlet-GA1099/dp/B096NC65VQ/ref=sr_1_60?keywords=men+sports+shoes&qid=1685080866&sr=8-60,"₹2,243",4.2 out of 5 stars,170
Mens Syrus Running Shoes,https://www.amazon.in/Campus-Syrus-BLU-RED-Sports-Running/dp/B08BNHMVJH/ref=sr_1_61?keywords=men+sports+shoes&qid=1685080866&sr=8-61,"₹1,299",4.0 out of 5 stars,"4,121"
Men's Gel-Contend 5B Black/Orange Pop Running Shoe (1011B083.003),https://www.amazon.in/ASICS-Gel-Contend-Indigo-Classic-Running/dp/B0B4P6QWTP/ref=sr_1_62?keywords=men+sports+shoes&qid=1685080866&sr=8-62,"₹3,009",4.0 out of 5 stars,650
Men's Synthetic Lace-Up Running Shoes Gym Shoes Training Shoes Walking Shoes Sports for Men Jordan Sneaker Canvas Ankal High Boat Shoes Long Boot Trending Shoes,https://www.amazon.in/ULAZO-Synthetic-Lace-Up-Training-Trending/dp/B0BXD7BCW4/ref=sr_1_63?keywords=men+sports+shoes&qid=1685080866&sr=8-63,₹599,4.1 out of 5 stars,9
Men ELOISE-1E N.Blue Running Shoes,https://www.amazon.in/Liberty-Eloise-1e-Walking-Shoes-8-55800011/dp/B084F9C5K6/ref=sr_1_64?keywords=men+sports+shoes&qid=1685080866&sr=8-64,₹474,3.7 out of 5 stars,629
